ecotypeid,rosette_color
6092,0.0117390540489589
6974,-0.00885942989932753
6197,-0.00105333917144719
6138,0.0151444731855439
8258,-0.00356303778084318
8231,-0.0056666198267984
9323,-0.00240040822469206
6133,-0.000505488029142323
6276,-0.00481666067463949
6134,0.00315421996530595
8426,-0.00374479667251858
8240,-0.0058914605908585
8351,0.00738727125623918
1552,3.44283580149279e-05
9343,-0.000618368273103827
6194,0.00512551666773345
6191,-0.00224831355561688
6173,-0.00518375729478178
9412,-0.00768983012640111
8306,0.00701096761461105
1585,0.0110852095434388
8242,-0.000624873046882976
8249,-0.00361953967075368
5856,0.00866127417418572
8247,-0.00720613504252081
6209,-0.00145294382672818
9388,-0.00102589140848049
6193,-0.00382934963688658
1158,-0.0153647012153487
6221,0.0014492449413534
7517,0.0054702328014674
6174,-0.00623638783780503
5832,0.0116043601028477
6064,0.0074584938282758
6030,0.00271583719638368
9434,0.00454147137825563
9442,-0.00778738666986828
8241,-0.0141040500474799
6220,0.00505221813882557
6154,0.00555029798982346
1063,-0.004715366206542
6188,-0.00385353753633129
6009,0.00109161563932917
6043,0.0128770062567262
6118,0.00428750395456581
6242,0.00588248404538811
9407,-0.00773487127952943
6025,-0.00149564636067194
6131,0.0172392664268357
6115,-0.00165068876815607
9416,-0.00901892342720919
6073,0.00431400934241253
6019,-0.00273824466120127
9433,0.00498013117142729
6136,0.00043300085392209
5831,-1.19214954719473e-05
9453,0.0155345192102385
9392,-0.000969884681831333
9321,-0.00318336793853304
6210,0.0025756970035679
6016,0.00940698293350315
6201,0.0141678481991728
6243,-0.0129338643869803
6036,-0.00543544455652937
9404,0.0109942974662074
6041,-0.0122366201430085
997,-0.00463855463304597
8230,-0.016679727915703
6252,-0.0038574750287109
9450,-0.0118120743654634
6129,-0.00426388758914701
6090,-0.000152524972933295
8423,-0.0119133279311143
6111,0.0139918649093298
6102,0.00374515427147597
5867,-0.00249264901796279
9409,-0.00244873901799046
9058,-0.0061321666969479
1254,-0.00121837107514563
6017,0.0053098765294681
6071,0.000193188196973674
6244,0.00486459976543721
9408,0.00317646226974292
9476,-0.00658145501069492
6023,-0.00226000358671163
6149,0.000193630944510645
6235,-0.00245439554225406
8369,0.0105955046561049
6124,-0.00393694913265598
6151,0.00775370878052922
6171,-0.00390950490459985
6122,-0.0049257625457891
6126,0.00247781741329463
6098,-0.0031202015598177
6112,0.0109529697923093
9380,0.00627840284355501
6900,0.0135103842206146
6202,-0.00925193282943993
6109,0.0090221116429765
6195,-0.00438334592390743
6046,0.0144124710270293
6085,-0.00806447218272775
9383,0.000602849856470545
6189,0.00508237926023343
6240,0.00642772348336999
7516,0.0128109102468561
8237,-0.00866508600887996
9437,0.00809372120720119
6069,0.00836874180753261
6145,0.0077937117435936
6258,-0.00248842348333758
6042,-0.00636660384253506
6192,-0.00483429093868329
8422,-0.00850452491823895
991,-0.00131546722997075
1435,-0.0118324007756782
6169,-0.0107298103850365
8222,-0.00652660327669929
9436,0.00743878347593909
8335,0.0170447935824013
1257,-0.00509300334406913
6241,0.00755583968347723
8386,-0.0100952306619494
6039,-0.00980062639025895
6035,0.00310625245714152
6148,0.00356386677642591
6020,-0.00924279118388657
6973,-0.0142682834496561
6163,0.00491041130416977
9356,0.00668383990218587
8334,-0.00113045322083843
6913,0.00356717372010645
6166,0.00213005714370014
8259,-0.00337497413033809
6094,-0.00981189596597025
6108,0.000709146695539824
8387,-0.00947323911029931
6127,0.00260564154816769
9452,-0.0136697805451277
8307,-0.0117628885115122
992,0.00224056249458177
6038,0.000884602852616145
6177,0.00432927637816075
6203,0.00108714079505304
6114,-0.00471577132346705
9353,0.00875835206285761
7519,0.000149252125415296
9386,0.00627876061561504
9470,-0.00986631317776709
8326,-0.0106523069430118
9369,-0.00387892679826119
6231,0.00392971173359294
9421,0.00121843220919558
1318,-0.00472902608485933
9391,-0.00186422012426914
9413,-0.00922511282268409
6218,0.00200642106650364
9481,-0.00229969087576646
9363,0.00420966452885935
9382,-0.00172514419814703
9451,-0.0160437934529395
6106,-0.00916380941890371
6040,-0.00240719497011144
6964,-0.00369432609723125
6284,-0.00985796959208603
6184,-0.000193639114976634
8283,0.00973356478910362
6142,0.0114110362394808
1062,-0.00774781654867485
6140,0.00275565491559159
6180,0.0144574779340201
1317,-0.00354347936068181
9399,-0.00489604005320689
9332,-0.00634444750228888
9339,-0.00154366829742467
9454,0.00642879430428343
6034,0.0137565469787801
5829,0.0200347579913039
9405,0.00246798813577609
6011,0.00962814614529759
6238,0.00747728949671174
6021,-0.0121584758856912
5830,-0.00629627121439693
9427,-0.00118531981039525
6013,-0.000166477648500449
8256,0.00793999009776121
5865,0.0160501854525555
6012,-0.00369999773372358
6918,0.00261159444156927
6086,-0.00950939372375745
9336,NA
6097,0.0133016238328956
6237,-0.00291386614086558
8227,0.00806392833856866
6413,-0.00224532957521894
6104,-0.00724230502047933
1061,-0.00796214147913743
1363,-0.00184098472640422
6198,0.00775846747863018
6217,0.0016561602287631
