ecotypeid,cadmium_conc
7252,0.692246991
6847,0.717289502
8329,1.03290646
7123,1.237584365
7000,1.101803763
6928,0.700900167
8274,1.087448037
7206,1.008055345
15,1.122137781
7382,1.363107031
7069,0.755278976
6951,1.468996259
7062,0.752092391
8300,1.304423397
8311,1.063645437
6100,1.07967254
8314,1.442248986
6958,1.079972515
81,0.89102195
6203,0.691500339
7092,1.038809452
7525,1.234605824
8215,0.702655831
8351,0.91063309
6318,1.186837417
7460,1.397857918
8412,1.313062935
8323,1.404409335
7300,1.448423728
2,0.667338524
6913,1.242093243
6924,1.242609226
8284,1.337911015
6933,1.293231653
7571,0.991297119
6124,1.590401895
7307,0.73336292
5805,0.972760291
7102,0.80649303
8796,1.093302847
374,0.918290612
7128,1.277633816
2187,1.205386322
7379,0.817222134
6916,0.822197252
5729,1.087434385
259,1.095012633
7490,1.277349202
7424,1.454236957
267,1.231727091
7504,0.990341738
7229,1.20827292
8692,1.398024747
6979,0.963753609
8343,1.030711006
7098,0.693250455
379,0.858333522
6985,1.370678442
7351,1.374219083
6085,1.220497555
6976,1.260184273
6188,1.30049497
6919,1.339242648
7438,1.413450946
7166,0.90185451
6243,1.277793616
7080,1.202723598
8420,1.227305503
260,0.744618192
6005,1.541460678
7320,0.863738551
7449,1.403754682
1,0.900110789
6926,0.808023916
7035,1.501486055
6990,0.875622981
7296,1.192773396
6973,1.361233442
7011,1.266672529
6413,0.961646693
5837,1.464887526
7100,1.006550785
8275,1.227997769
7284,1.416627798
8422,0.989126455
6937,0.971094263
7522,1.056338045
7227,0.988746346
8222,1.274075673
96,1.12863349
8310,1.107340504
6727,0.897553756
258,1.036283076
7354,1.2642211
4802,1.643809492
6020,1.067499225
7418,1.246301224
7150,1.130330818
7277,1.165668767
5116,1.912597963
8306,0.886036085
8213,1.087359965
5887,1.239462088
5628,1.112848623
390,0.817510874
386,0.840383953
8326,1.220091161
8389,1.427586763
8365,1.225649259
7199,0.722637623
6899,0.779388035
7231,1.208997721
7008,0.820117009
286,0.872464429
8424,0.851860776
7075,1.124975759
6953,1.089346286
6448,0.894926696
6988,0.883828365
5341,1.047616124
66,0.93385542
6202,1.366084595
2274,1.036392673
4997,1.259383083
6932,1.175738161
5202,0.976634058
7390,0.96770708
6194,1.231135429
6944,0.723920755
7523,1.059946765
7492,1.537864933
5832,1.480680282
126,0.727716795
7026,0.852356473
641,0.85741131
6943,0.919958696
8235,1.18354701
373,0.88232765
23,0.861740467
7280,1.799542277
7498,1.062121691
7515,0.993090169
7430,1.600512728
7014,1.06801293
8419,1.376908847
7446,0.520032975
6730,0.974808324
7255,0.803794304
7477,0.90455609
8256,1.319838848
7143,1.017419791
6907,0.779490081
149,1.051984334
6897,0.958680229
7105,1.253021781
7337,1.466460612
